Frequency kHz,Phase (deg),Vr pp (V)
0.5,14.2,10.09
1,26.5,9.4
1.5,37,8.51
2,44.9,7.64
2.5,51.1,6.82
3,55.9,6.1
3.5,59.8,5.51
4,62.5,5
4.5,65.3,4.55
5,68.1,4.19
5.5,69.9,3.86
6,71.2,3.58
6.5,72.9,3.34
7,73.8,3.12
7.5,74.9,2.93
8,75.8,2.76
8.5,76.9,2.61
9,77.1,2.48
9.5,77.9,2.36
10,78.3,2.24
10.5,79.1,2.14
11,79.5,2.05
11.5,79.9,1.96
12,80.2,1.89
12.5,80.6,1.82
13,81.3,1.75
13.5,81.5,1.69
14,81.9,1.64
14.5,81.9,1.58
15,82.3,1.52
15.5,82.5,1.48
16,82.9,1.43
16.5,83.1,1.39
17,83.2,1.35
17.5,83.9,1.31
18,84.1,1.27
18.5,84.1,1.23
19,84.4,1.19
19.5,84.5,1.16
20,84.9,1.13
20.5,84.7,1.11
21,85,1.08
21.5,85.2,1.06
22,85.3,1.03
22.5,85.3,1.01
23,85.2,0.987
23.5,85.4,0.965
24,85.5,0.944
24.5,85.5,0.924
25,85.4,0.904
25.5,86.1,0.886
26,86.1,0.868
26.5,86.2,0.851
27,86.2,0.834
27.5,86.3,0.818
28,86.5,0.802
28.5,86.3,0.789
29,86.6,0.774
29.5,86.6,0.761
30,86.8,0.747
