Frequency kHz,Phase (deg),Vr pp (V)
0.5,-87,0.435
1,-87,0.853
1.5,-84,1.265
2,-82,1.676
2.5,-80,2.079
3,-77,2.473
3.5,-76,2.852
4,-74,3.216
4.5,-73,3.576
5,-69,3.916
5.5,-68.3,4.255
6,-66.5,4.6
6.5,-65,4.9
7,-63.4,5.2
7.5,-61.9,5.47
8,-60.4,5.74
8.5,-59,5.99
9,-57.4,6.23
9.5,-55.7,6.45
10,-55,6.67
10.5,-53,6.87
11,-52,7.07
11.5,-51,7.25
12,-50,7.42
12.5,-48,7.57
13,-48,7.73
13.5,-46,7.87
14,-45,8
14.5,-44.7,8.18
15,-43.6,8.32
15.5,-42.6,8.43
16,-42,8.51
16.5,-41,8.6
17,-40.1,8.72
17.5,-39.4,8.81
18,-38.6,8.89
18.5,-37.9,8.96
19,-36.9,9.05
19.5,-36.1,9.44
20,-35.5,9.22
20.5,-35.1,9.26
21,-34.2,9.33
21.5,-33.7,9.4
22,-33.1,9.46
22.5,-32.6,9.52
23,-31.9,9.57
23.5,-31.3,9.61
24,-30.8,9.65
24.5,-30.5,9.69
25,-29.8,9.71
25.5,-29.5,9.75
26,-28.9,9.79
26.5,-28.8,9.81
27,-27.9,9.85
27.5,-27.7,9.89
28,-27.1,9.94
28.5,-26.5,9.96
29,-26.4,10
29.5,-25.7,10.03
30,-25.3,10.05
