sin frequency (kHz),input volt v (synthetic),mean voltage (output) (synthetic),phase (deg) (synthetic)
10.0,3.6104925253625733,0.033109540246446224,91.44122937348895
12.5,3.588243886643953,0.04278743402334009,89.03185596019205
15.0,3.619329884609195,0.05589361360599844,89.50983095502568
17.5,3.62094897618937,0.06780190409173978,90.37225265095931
20.0,3.5668618562523444,0.08082498163917366,82.67606133282126
22.5,3.57159332336415,0.09747771606549044,86.19960444446617
25.0,3.589292817630805,0.12272780742665024,85.1143188716578
27.5,3.5813281891063182,0.14091571023582397,83.82070966922042
30.0,3.586698671240161,0.17399074709682463,84.16720817705969
32.5,3.571700657158968,0.21792967808108202,89.07400733129425
35.0,3.602772002679165,0.2955164208162334,78.87959997962719
37.5,3.5999458094022407,0.41530535061689633,82.06020621209841
40.0,3.586183600253785,0.6338883480768002,66.23886339995732
42.5,3.6042001624288678,1.2292707027764174,52.16628261455177
43.0,3.5913754298664458,1.44822720630004,45.4397848859673
43.35,3.567605775527447,1.652383067592621,39.03545273386174
43.4,3.591609857804679,1.692711280508122,38.154223297044965
43.45,3.5658216182061486,1.7022151908970178,37.10960495276778
43.5,3.5987374371479204,1.7133071143970884,32.55773232107769
43.55,3.5831053276751264,1.7556007945252456,30.89511256453437
43.6,3.578689115068904,1.7765511004099914,33.221008926283474
43.65,3.5708011472120034,1.8011425660993565,28.85215305336625
47.5,3.6038957153756517,0.9855501750112526,-66.55187968602317
50.0,3.579232376976148,0.5873998756882833,-77.50027196309317
